YEAR	1	2	3	4	5	6	7	8	9	10	11	12
1901	9685.604	39514.32	30788.86	28271.1	19094.68	-21683.78	-16233.41	-13394.99	-967.7049	1188.901	40118.83	31663.9
1902	25310.94	14028.69	20042.46	16637.5	23916.73	14118	32555.91	21928.99	26384.73	32400.77	10181.65	11029.39
1903	12689.62	21037.78	2600.142	27148.84	6498.725	-5513.936	15407.36	52755.15	-8832.465	35981.77	28223.63	7394.162
1904	4268.342	27378.47	2329.221	7738.061	28028.03	44827.59	42680.15	25082.75	-508.8542	18375.77	34844.89	25404.52
1905	8202.9	9493.339	10326.94	23385.24	1030.639	-8455.993	7916.012	-1926.335	39739.37	64857.8	25061.21	13406.54
1906	15386.53	11208.11	47460.57	8131.432	-6343.229	11417.97	769.589	37042.16	11659.73	21005.22	23796.5	27037.63
1907	11805.11	9679.12	12532.1	12566.42	19967.95	-9608.824	9577.604	36727.92	4596.878	-15324.93	7799.064	24336.4
1908	18500.9	23656.49	4429.54	19696.92	19338.82	10267.4	-11460.39	28499.16	38183.88	-7742.53	26560.46	10814.97
1909	4682.592	14157.07	20764.25	35700.8	35990.38	32887.85	38093.57	13498.27	1715.489	8925.681	46550.38	20123.93
1910	20957.02	6434.573	8349.669	14420.01	-645.935	241.9597	12432.58	28608.3	387.7409	6274.048	36089.19	20791.77
1911	5295.974	18989.67	10160.55	36366.28	-221.2871	41220.03	30113.1	-5588.96	18556.9	29218.31	24426.17	8128.831
1912	21650.11	14662.91	11220.24	26979.05	23812.05	3876.659	-6421.88	7662.654	31349.44	26175.6	27818.28	18755.63
1913	5143.88	7659.516	18381.72	6702.906	12603.51	27319.32	15369.85	14076.9	13781.8	14765.89	34200.25	40572.09
1914	18815.4	3894.406	27023.98	8274.125	10767.68	-12602.19	-15225.59	34196.67	37781.46	17728.43	21628.32	15133.53
1915	34745.35	22185.1	35598.93	20904.85	18675.45	20916.94	-17552.67	22180.74	44759.31	-451.8466	33406.84	26551.18
1916	25424.95	11539.4	12007.66	14389.2	40122.67	39241.73	4901.085	55261.59	27979.82	43793.83	20079.33	15039.16
1917	23644.85	14029.83	21822.12	41097.82	18531.8	-36730.1	16250.09	-22228.9	44366.56	25801.97	41849.66	22306.67
1918	22690.2	6459.635	-2412.224	-7436.111	2742.441	21565.96	6734.259	32220.21	37147.03	6617.126	7718.995	26069.6
1919	9083.495	18684.48	22005.12	29996.08	-406.5428	3025.18	-2385.172	53383.65	10013.52	24330.02	28908.84	23851.1
1920	27656.38	5011.519	4828.718	8481.86	-9088.398	27694.85	-12231.53	6128.369	6626.225	4966.487	4559.134	1880.219
1921	30089.09	1407.151	7253.412	-2897.214	11694.47	28826.94	41825.26	-4945.722	26652.77	30547.89	16438.48	20695.82
1922	16968.93	5910.733	27443.21	19709.53	24975.65	15545.85	1955.976	5312.714	11406.55	29444.69	40611	25531.61
1923	18752.18	7391.353	-3085.731	19639.53	18396.08	31334.19	25556.46	37807.5	23355.6	40772.2	37671.13	29343.9
1924	8541.59	11155.37	19427.22	21620.61	10431.11	5553.112	14262.75	-6518.719	17122.25	929.6108	19923.29	3242.065
1925	1776.727	23713.04	33404.18	18448.21	9297.807	46519.16	-11098.85	36643.72	43186.4	45437.79	36558.4	36752.23
1926	8711.114	1195.737	28186.12	12535.62	9304.293	2403.252	-6287.612	32000.32	18223.07	48397.16	24190.97	25884.73
1927	11029.94	7907.369	11781.15	43975.1	42714.2	22797.02	6690.437	-9317.174	31498.71	44221.05	26943.59	11088.09
1928	8294.808	11856.23	-2682.942	14444.22	11703.55	43037.78	28457.52	22339.91	21101.66	36484.92	34598.47	17777.06
1929	10954.97	145.8758	18906.57	33270.4	-10554.49	10929.21	11367.21	-7185.01	8033.596	40773.59	14015.68	9138.859
1930	8529.591	1406.457	23898.12	9580.352	16816.1	10137.39	41361.65	29077.76	23598.12	24019.04	36085.11	-306.7988
1931	20361.4	8889.421	28391.19	24204.27	-499.7334	36986.82	4463.637	-1045.151	53630.36	44635.3	309.2935	22503.21
1932	15873.26	13115.53	25516.72	26067.08	21328.96	19200.59	-30778.53	7373.035	31120.41	45694.72	20433.24	4746.158
1933	4031.558	14901.24	8257.148	24782.25	28475.53	5470.18	-23902.31	19323.87	27166.41	22008.08	20374.5	7089.141
1934	6341.273	15768.27	12819.11	5434.146	9473.096	19996.77	9146.606	16097.2	-14935.83	39174.68	24478.16	1647.66
1935	13398.9	27581.73	10494.11	29030.04	32986.09	-13643.47	50985.67	14721.68	44107.7	36966.31	857.4688	22905.76
1936	31176.88	16610.46	12259.24	18348.29	-1160.004	-2205.648	-10417.37	14796.13	30216.36	46771.7	22209.47	18553.33
1937	3560.19	23694	20896.1	1476.295	3312.972	-10871.5	15388.22	-2958.375	21392.92	16035.5	18441.83	28114.44
1938	23081.6	8657.818	17447.24	27386.83	19056.69	22771.1	-52965.2	-15138.34	1643.939	25251.79	23618.1	2777.539
1939	18051.15	12022.22	15862.3	29886.44	21220.58	6804.827	-11910.71	-43238.31	8289.546	23382.44	17453.77	31223.64
1940	11046.01	13653.6	26799.85	35790.63	-6216.81	15679.48	-6171.148	24727.79	41633.64	4260.299	40353.94	16591.16
1941	21760.35	25624.42	25409.08	30363.98	35463.87	19985.78	-43256.48	2799.412	29521.26	34100.89	-445.6396	21584.59
1942	9352.618	10507.4	12073.29	8302.236	25641.05	20672.81	30206.39	-3278.089	6254.42	28376.19	26647.04	11471.11
1943	10446.1	17327.96	1716.403	33611.81	22512.68	6924.494	24344.81	7625.469	12112.37	5228.328	20072.9	18431.8
1944	28480.25	14814.37	36566.24	26994.86	24158.46	17619.46	-13439.69	-8416.988	4834.912	3977.199	21736.37	7825.591
1945	14100.98	11671.58	23814.75	24364.47	28518.74	8273.51	-16434.33	1984.387	17427.98	30899.43	2370.15	14187.15
